Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
187961,2020-08-25 19:45:28,3553629419254918,fraud_Goldner-Lemke,entertainment,32.15,Sharon,Johnson,F,7202 Jeffrey Mills,Conway,WA,98238,48.34,-122.3456,85,"Research officer, political party",1984-09-01,ee77595a84c271dccee175e091984e56,1377459928,48.086355,-122.529813,0
463729,2020-12-11 20:30:29,4980323467523543940,fraud_Hammes-Beatty,kids_pets,7.03,Patrick,Massey,M,7812 Shane Shoals Apt. 607,North Haverhill,NH,3774,44.0978,-72.0191,1966,Structural engineer,1947-10-27,b01f6024df4c8bd3c01ecbfdb665fda6,1386793829,44.829936,-71.285294,0
516981,2020-12-22 21:20:29,4158008602445,fraud_Langworth LLC,personal_care,6.49,Alicia,Miller,F,976 Hubbard Lodge,Randolph,MN,55065,44.5274,-93.0196,1201,Barrister,1979-12-27,0a29e4592717162e2e8d8cae5fd8dfd7,1387747229,44.376099,-93.459778,0
188312,2020-08-25 21:42:39,503874407318,fraud_Osinski Inc,personal_care,16.04,Andrew,Mcgee,M,4130 Tiffany Glen Apt. 562,San Antonio,TX,78248,29.5894,-98.5201,1595797,Exhibition designer,1975-12-28,91f4382f0e498a30f5c0c3bd22746060,1377466959,29.688822,-97.977742,0
518150,2020-12-23 03:19:31,3502088871723054,"fraud_Johnston, Nikolaus and Maggio",grocery_net,37.72,Scott,Martin,M,31472 Cody Place Suite 740,Kensington,MD,20895,39.0298,-77.0793,19054,Operations geologist,1976-09-08,dc30fcbfd62106337e4d745a0449a748,1387768771,39.154141,-76.748532,0
92891,2020-07-23 14:37:49,341283058448499,"fraud_Schoen, Nienow and Bauch",personal_care,2.93,Mario,Johns,M,62130 Miller Square Suite 785,Brinson,GA,39825,30.9788,-84.7373,1461,"Engineer, broadcasting (operations)",1935-09-08,5faf7fc9f4407bb1e75fe203636a8c47,1374590269,30.17032,-83.81350400000001,0
285094,2020-10-05 20:39:38,4658490815480264,"fraud_Nienow, Barrows and Romaguera",personal_care,90.09,Tara,Richards,F,4879 Cristina Station,Keisterville,PA,15449,39.9636,-79.7853,184,Systems developer,1945-11-04,7050690f91af3274378987a1187badff,1381005578,39.523172,-80.210657,0
163533,2020-08-17 16:08:49,4951647200979051,fraud_Jewess LLC,shopping_pos,9.24,Kimberly,Miller,F,75533 Tamara Valleys,Logan,IL,62856,37.9943,-88.9417,324,"Scientist, research (physical sciences)",1976-06-15,f5100a2a767a6390eb3d3c02f6dc2de2,1376755729,38.846076,-89.075456,0
121246,2020-08-02 21:36:16,6011329966782895,fraud_Bode-Rempel,kids_pets,23.7,Lauren,Butler,F,030 Seth Divide Suite 355,Tulsa,OK,74131,36.0557,-96.0602,413574,"Teacher, special educational needs",1971-09-01,2eb6f0670a9e3f8e3a82704ef7be5ffd,1375479376,37.049795,-96.662126,0
498702,2020-12-19 17:49:59,2268221587779419,fraud_Harris Group,food_dining,45.02,Peggy,Berry,F,517 Vasquez Lodge,Vancouver,WA,98665,45.6892,-122.6616,299480,Teaching laboratory technician,1985-01-02,192c5a344fc3102244aafee6e395b302,1387475399,46.634025,-123.509526,0
